Index File Name,Address 1,Address 1 GIMP X Coordinate,Address 1 GIMP Y Coordinate,Address 2,Address 2 GIMP X Coordinate,Address 2 GIMP Y Coordinate
macomb61Index.pdf,"Bordman Road and Fisher Road, Bruce Township, MI 48065",315.4,2926.1,"Jefferson Avenue and E 9 Mile Road, St Clair Shores, MI 48080 ",1175.8,488.2
wayne67Index.pdf,"Hoover Street and 7 Mile, Detroit, MI 48205",1841.8,1956.2,"Sumpter Road and Newburg Road, Exeter Township, MI 48117",417.6,491.8
wayne52Index.pdf,"Hoover Street and 7 Mile, Detroit, MI 48205",2209.7,2146.3,"Sumpter Road and Newburg Road, Exeter Township, MI 48117",560.9,450.7
wayne81Index.pdf,"Hoover Street and 7 Mile, Detroit, MI 48205",2186.6,2180.2,"Sumpter Road and Newburg Road, Exeter Township, MI 48117",352.8,294.5
